workerid,proliferate.condition,content,contentNr,fact,fact_type,probe_text,question,response,rt,slide_number_in_experiment,speakerGender,speakerName,subjectGender,subjectName,trigger_class,utterance,verb,error
10,main,Isabella ate cake or pie,7,Isabella is from Argentina,factH,and possibly both,7,0.65,1100,19,M,Robert,M,Tyler,NonProj,Did Kevin establish that Isabella ate cake or pie?,establish,
10,main,Todd played football in high school,control3,Todd goes to the gym 3 times a week,NA,,control3,0.46,1066,20,F,Sandra,NA,NA,control,Did Todd play football in high school?,control,
24,main,Josie failed some of the courses,2,Josie doesn't have a passport,factL,and possibly all of them,2,0.49,16949,4,F,Donna,M,Kevin,C,Did Scott prove that Josie failed some of the courses?,prove,
24,main,Madison had a baby,control5,Trish sent Madison a card,NA,,control5,0.28,6043,5,M,Mark,NA,NA,control,Did Madison have a baby?,control,
24,main,Mary ate some of the cupcakes,1,Mary is a middle school student,factL,but not all of them,1,0.87,7763,6,F,Sandra,M,Eric,NonProj,Did Patrick discover that Mary ate some of the cupcakes?,discover,
24,main,Jayden solved the puzzles or problems,10,Zoe is 5 years old,factL,and possibly both,10,0.82,5732,7,M,Paul,F,Carolyn,C,Did Tim hear that Jayden solved the puzzles or problems?,hear,
24,main,Josh bought coffee or tea,12,Frank has always wanted a pet,factH,and possibly both,12,0.93,6123,8,M,Christopher,F,Stephanie,C,Did Melissa acknowledge that Josh bought coffee or tea?,acknowledge,
24,main,Grace used pens or markers,9,Grace loves her sister,factH,but not both,9,0.49,7495,9,F,Michelle,M,Nicholas,C,Did Andrew suggest that Grace used pens or markers?,suggest,
24,main,Mary's aunt is sick,control2,Mary visited her aunt on Sunday,NA,,control2,0.49,4212,10,F,Sandra,NA,NA,control,Is Mary's aunt sick?,control,
24,main,Vanessa is good at math,control4,Vanessa won a prize at school,NA,,control4,0.5,3183,11,M,Paul,NA,NA,control,Is Vanessa good at math?,control,
24,main,Emily failed math or science,8,Emily never has any money,factL,but not both,8,0.19,9712,12,M,Thomas,M,Ronald,NonProj,Does Brian think that Emily failed math or science?,think,
24,main,Isabella ate cake or pie,7,Isabella is from Argentina,factH,but not both,7,0.64,5803,13,M,James,M,Alexander,NonProj,Does Kevin know that Isabella ate cake or pie?,know,
24,main,Danny solved some of the puzzles,4,Olivia has two small children,factL,but not all of them,4,0.53,4778,14,M,Mark,F,Sharon,C,Did Jerry confirm that Danny solved some of the puzzles?,confirm,
24,main,Todd played football in high school,control3,Todd goes to the gym 3 times a week,NA,,control3,0.49,4587,15,M,Richard,NA,NA,control,Did Todd play football in high school?,control,
24,main,Emma used some of the office supplies,3,Emma is in law school,factH,and possibly all of them,3,0.5,4894,16,M,Kenneth,M,Larry,NonProj,Did Justin establish that Emma used some of the office supplies?,establish,
24,main,Hendrick's car was expensive,control6,Hendrick just bought a car,NA,,control6,0.51,5685,17,M,Thomas,NA,NA,control,Was Hendrick's car expensive?,control,
24,main,Tony answered emails or calls,11,Danny is a diabetic,factL,and possibly both,11,0.81,4786,18,M,Richard,F,Amanda,C,Did Amanda inform Sam that Tony answered emails or calls?,inform_Sam,
24,main,Zack is coming to the meeting tomorrow,control1,Zack is a member of the golf club,NA,,control1,0.5,3100,19,F,Donna,NA,NA,control,Is Zack coming to the meeting tomorrow?,control,
24,main,Jackson completed some of the assignments,6,Mia is a college student,factH,and possibly all of them,6,0.32,4957,20,M,David,F,Rebecca,C,Did Ray say that Jackson completed some of the assignments?,say,
24,main,Frank answered some of the questions,5,Sophia is a hipster,factH,but not all of them,5,0.81,3797,21,F,Susan,F,Diane,NonProj,Did Ben reveal that Frank answered some of the questions?,reveal,
9,main,Madison had a baby,control5,Trish sent Madison a card,NA,,control5,0.6,1649,3,F,Carol,NA,NA,control,Did Madison have a baby?,control,
9,main,Mary ate some of the cupcakes,1,Mary is taking a prenatal yoga class,factH,but not all of them,1,0.19,1266,4,F,Kimberly,M,Brandon,C,Did Patrick confirm that Mary ate some of the cupcakes?,confirm,
9,main,Isabella ate cake or pie,7,Isabella is from Argentina,factH,but not both,7,0.93,1367,5,M,David,M,Tyler,C,Did Kevin hear that Isabella ate cake or pie?,hear,
9,main,Emma used some of the office supplies,3,Emma is in law school,factH,and possibly all of them,3,0.14,1183,6,M,Paul,M,Larry,NonProj,Did Justin reveal that Emma used some of the office supplies?,reveal,
9,main,Grace used pens or markers,9,Grace hates her sister,factL,and possibly both,9,0.86,1150,7,F,Carol,M,Brian,C,Did Andrew say that Grace used pens or markers?,say,
9,main,Vanessa is good at math,control4,Vanessa won a prize at school,NA,,control4,0.22,1200,8,F,Jessica,NA,NA,control,Is Vanessa good at math?,control,
9,main,Jackson completed some of the assignments,6,Mia is a nun,factL,and possibly all of them,6,0.91,1700,9,F,Jessica,F,Virginia,NonProj,Did Ray discover that Jackson completed some of the assignments?,discover,
9,main,Todd played football in high school,control3,Todd goes to the gym 3 times a week,NA,,control3,0.22,1033,10,F,Donna,NA,NA,control,Did Todd play football in high school?,control,
9,main,Zack is coming to the meeting tomorrow,control1,Zack is a member of the golf club,NA,,control1,0.92,1100,11,M,Richard,NA,NA,control,Is Zack coming to the meeting tomorrow?,control,
9,main,Hendrick's car was expensive,control6,Hendrick just bought a car,NA,,control6,0.26,933,12,F,Lisa,NA,NA,control,Was Hendrick's car expensive?,control,
9,main,Josh bought coffee or tea,12,Frank is allergic to cats,factL,but not both,12,0.8,1017,13,F,Donna,F,Sharon,NonProj,Does Melissa think that Josh bought coffee or tea?,think,
9,main,Jayden solved the puzzles or problems,10,Zoe is a math major,factH,but not both,10,0.31,933,14,F,Sarah,F,Nicole,NonProj,Did Tim establish that Jayden solved the puzzles or problems?,establish,
9,main,Mary's aunt is sick,control2,Mary visited her aunt on Sunday,NA,,control2,0.84,1034,15,M,Thomas,NA,NA,control,Is Mary's aunt sick?,control,
9,main,Tony answered emails or calls,11,Danny loves cake,factH,and possibly both,11,0.29,1016,16,F,Michelle,F,Rebecca,C,Did Amanda suggest that Tony answered emails or calls?,suggest,
9,main,Frank answered some of the questions,5,Sophia is a high end fashion model,factL,but not all of them,5,0.94,1034,17,M,Thomas,F,Christina,C,Did Ben inform Sam that Frank answered some of the questions?,inform_Sam,
9,main,Josie failed some of the courses,2,Josie loves France,factH,and possibly all of them,2,0.29,1083,18,M,Kenneth,M,Alexander,C,Did Scott acknowledge that Josie failed some of the courses?,acknowledge,
9,main,Danny solved some of the puzzles,4,Olivia has two small children,factL,but not all of them,4,0.88,1283,19,M,Richard,F,Shirley,NonProj,Does Jerry know that Danny solved some of the puzzles?,know,
9,main,Emily failed math or science,8,Emily never has any money,factL,and possibly both,8,0.24,1367,20,F,Lisa,M,Jeffrey,C,Did Brian prove that Emily failed math or science?,prove,
3,main,Todd played football in high school,control3,Todd goes to the gym 3 times a week,NA,,control3,0.18,2615,3,F,Linda,NA,NA,control,Did Todd play football in high school?,control,
3,main,Emily failed math or science,8,Emily has been saving for a year,factH,but not both,8,0.15,1832,4,F,Sandra,M,Andrew,NonProj,Did Brian establish that Emily failed math or science?,establish,
3,main,Zack is coming to the meeting tomorrow,control1,Zack is a member of the golf club,NA,,control1,0.28,1617,5,F,Margaret,NA,NA,control,Is Zack coming to the meeting tomorrow?,control,
3,main,Grace used pens or markers,9,Grace hates her sister,factL,and possibly both,9,0.25,1600,6,M,Steven,M,Jacob,C,Did Andrew inform Sam that Grace used pens or markers?,inform_Sam,
3,main,Jackson completed some of the assignments,6,Mia is a nun,factL,but not all of them,6,0.93,4167,7,F,Margaret,F,Cynthia,C,Did Ray suggest that Jackson completed some of the assignments?,suggest,
3,main,Madison had a baby,control5,Trish sent Madison a card,NA,,control5,0.81,1550,8,M,David,NA,NA,control,Did Madison have a baby?,control,
3,main,Isabella ate cake or pie,7,Isabella is from Argentina,factH,and possibly both,7,0.74,1533,9,F,Elizabeth,M,Edward,NonProj,Does Kevin think that Isabella ate cake or pie?,think,
3,main,Danny solved some of the puzzles,4,Olivia has two small children,factL,but not all of them,4,0.8,1300,10,M,George,F,Amanda,NonProj,Did Jerry discover that Danny solved some of the puzzles?,discover,
3,main,Tony answered emails or calls,11,Danny is a diabetic,factL,but not both,11,0.78,1300,11,F,Linda,F,Ruth,C,Did Amanda confirm that Tony answered emails or calls?,confirm,
3,main,Josh bought coffee or tea,12,Frank has always wanted a pet,factH,and possibly both,12,0.81,1417,12,F,Dorothy,F,Rebecca,NonProj,Does Melissa know that Josh bought coffee or tea?,know,
3,main,Vanessa is good at math,control4,Vanessa won a prize at school,NA,,control4,0.91,1550,13,F,Sarah,NA,NA,control,Is Vanessa good at math?,control,
3,main,Mary's aunt is sick,control2,Mary visited her aunt on Sunday,NA,,control2,0.86,10833,14,M,George,NA,NA,control,Is Mary's aunt sick?,control,
3,main,Hendrick's car was expensive,control6,Hendrick just bought a car,NA,,control6,0.78,1667,15,M,Steven,NA,NA,control,Was Hendrick's car expensive?,control,
3,main,Emma used some of the office supplies,3,Emma is in law school,factH,but not all of them,3,0.86,1383,16,F,Nancy,M,Gregory,NonProj,Did Justin reveal that Emma used some of the office supplies?,reveal,
3,main,Frank answered some of the questions,5,Sophia is a hipster,factH,and possibly all of them,5,0.85,1283,17,F,Carol,F,Julie,C,Did Ben say that Frank answered some of the questions?,say,
3,main,Jayden solved the puzzles or problems,10,Zoe is a math major,factH,but not both,10,0.84,1100,18,M,James,F,Christina,C,Did Tim prove that Jayden solved the puzzles or problems?,prove,
3,main,Josie failed some of the courses,2,Josie doesn't have a passport,factL,and possibly all of them,2,0.77,1150,19,M,David,M,Nicholas,C,Did Scott acknowledge that Josie failed some of the courses?,acknowledge,
3,main,Mary ate some of the cupcakes,1,Mary is a middle school student,factL,and possibly all of them,1,0.89,1134,20,F,Sarah,M,Tyler,C,Did Patrick hear that Mary ate some of the cupcakes?,hear,
27,main,Jayden solved the puzzles or problems,10,Zoe is a math major,factH,and possibly both,10,0.5,27663,4,M,Steven,F,Angela,NonProj,Did Tim reveal that Jayden solved the puzzles or problems?,reveal,
27,main,Emma used some of the office supplies,3,Emma is in first grade,factL,and possibly all of them,3,0.48,21080,5,M,Matthew,M,Jeffrey,C,Did Justin confirm that Emma used some of the office supplies?,confirm,
27,main,Frank answered some of the questions,5,Sophia is a hipster,factH,and possibly all of them,5,0,18918,6,M,Paul,F,Catherine,NonProj,Does Ben know that Frank answered some of the questions?,know,
27,main,Madison had a baby,control5,Trish sent Madison a card,NA,,control5,0,8348,7,F,Kimberly,NA,NA,control,Did Madison have a baby?,control,
27,main,Hendrick's car was expensive,control6,Hendrick just bought a car,NA,,control6,0,8002,8,M,Robert,NA,NA,control,Was Hendrick's car expensive?,control,
27,main,Zack is coming to the meeting tomorrow,control1,Zack is a member of the golf club,NA,,control1,0,6284,9,M,Matthew,NA,NA,control,Is Zack coming to the meeting tomorrow?,control,
27,main,Grace used pens or markers,9,Grace loves her sister,factH,and possibly both,9,0,7736,10,F,Carol,M,Alexander,C,Did Andrew say that Grace used pens or markers?,say,
27,main,Mary's aunt is sick,control2,Mary visited her aunt on Sunday,NA,,control2,0,10074,11,F,Betty,NA,NA,control,Is Mary's aunt sick?,control,
27,main,Todd played football in high school,control3,Todd goes to the gym 3 times a week,NA,,control3,0,7688,12,F,Susan,NA,NA,control,Did Todd play football in high school?,control,
27,main,Vanessa is good at math,control4,Vanessa won a prize at school,NA,,control4,0,5486,13,F,Jessica,NA,NA,control,Is Vanessa good at math?,control,
27,main,Josie failed some of the courses,2,Josie loves France,factH,but not all of them,2,0.78,22472,14,F,Helen,M,Timothy,C,Did Scott inform Sam that Josie failed some of the courses?,inform_Sam,
27,main,Josh bought coffee or tea,12,Frank is allergic to cats,factL,but not both,12,0.48,103675,15,F,Betty,F,Brenda,NonProj,Did Melissa discover that Josh bought coffee or tea?,discover,
27,main,Danny solved some of the puzzles,4,Olivia has two small children,factL,but not all of them,4,0.47,7281,16,M,Robert,F,Nicole,C,Did Jerry suggest that Danny solved some of the puzzles?,suggest,
27,main,Jackson completed some of the assignments,6,Mia is a nun,factL,and possibly all of them,6,0.48,10237,17,F,Susan,F,Carolyn,C,Did Ray acknowledge that Jackson completed some of the assignments?,acknowledge,
27,main,Emily failed math or science,8,Emily never has any money,factL,but not both,8,0.42,10127,18,F,Jessica,M,Scott,NonProj,Did Brian establish that Emily failed math or science?,establish,
27,main,Isabella ate cake or pie,7,Isabella is from Argentina,factH,and possibly both,7,0.46,12545,19,F,Lisa,M,Benjamin,NonProj,Does Kevin think that Isabella ate cake or pie?,think,
27,main,Tony answered emails or calls,11,Danny is a diabetic,factL,but not both,11,0.29,9093,20,F,Kimberly,F,Virginia,C,Did Amanda prove that Tony answered emails or calls?,prove,
27,main,Mary ate some of the cupcakes,1,Mary is taking a prenatal yoga class,factH,but not all of them,1,0.35,10449,21,F,Dorothy,M,Brandon,C,Did Patrick hear that Mary ate some of the cupcakes?,hear,
30,main,Josh bought coffee or tea,12,Frank is allergic to cats,factL,but not both,12,0.31,8293,4,M,Matthew,F,Laura,NonProj,Does Melissa know that Josh bought coffee or tea?,know,
30,main,Jayden solved the puzzles or problems,10,Zoe is 5 years old,factL,but not both,10,0.38,6464,5,F,Ashley,F,Anna,NonProj,Did Tim reveal that Jayden solved the puzzles or problems?,reveal,
30,main,Isabella ate cake or pie,7,Isabella is from Argentina,factH,but not both,7,0.37,7290,6,M,Mark,M,Timothy,C,Did Kevin hear that Isabella ate cake or pie?,hear,
30,main,Emily failed math or science,8,Emily never has any money,factL,and possibly both,8,0.26,5107,7,F,Donna,M,Edward,C,Did Brian suggest that Emily failed math or science?,suggest,
30,main,Vanessa is good at math,control4,Vanessa won a prize at school,NA,,control4,0.27,3531,8,F,Ashley,NA,NA,control,Is Vanessa good at math?,control,
30,main,Josie failed some of the courses,2,Josie loves France,factH,and possibly all of them,2,0.67,4473,9,M,Paul,M,Alexander,C,Did Scott inform Sam that Josie failed some of the courses?,inform_Sam,
30,main,Todd played football in high school,control3,Todd goes to the gym 3 times a week,NA,,control3,0.14,3549,10,F,Donna,NA,NA,control,Did Todd play football in high school?,control,
30,main,Hendrick's car was expensive,control6,Hendrick just bought a car,NA,,control6,0.18,3403,11,M,David,NA,NA,control,Was Hendrick's car expensive?,control,
30,main,Mary's aunt is sick,control2,Mary visited her aunt on Sunday,NA,,control2,0.09,2936,12,M,Kenneth,NA,NA,control,Is Mary's aunt sick?,control,
30,main,Zack is coming to the meeting tomorrow,control1,Zack is a member of the golf club,NA,,control1,0.12,2856,13,M,Matthew,NA,NA,control,Is Zack coming to the meeting tomorrow?,control,
30,main,Madison had a baby,control5,Trish sent Madison a card,NA,,control5,0.18,2226,14,F,Sarah,NA,NA,control,Did Madison have a baby?,control,
30,main,Emma used some of the office supplies,3,Emma is in first grade,factL,and possibly all of them,3,0.73,3407,15,F,Sarah,M,Patrick,NonProj,Did Justin establish that Emma used some of the office supplies?,establish,
30,main,Mary ate some of the cupcakes,1,Mary is taking a prenatal yoga class,factH,but not all of them,1,0.47,4355,16,F,Elizabeth,M,Jacob,C,Did Patrick say that Mary ate some of the cupcakes?,say,
30,main,Jackson completed some of the assignments,6,Mia is a college student,factH,but not all of them,6,0.73,2901,17,F,Betty,F,Rachel,NonProj,Did Ray discover that Jackson completed some of the assignments?,discover,
30,main,Danny solved some of the puzzles,4,Olivia has two small children,factL,but not all of them,4,0.19,3682,18,M,Kenneth,F,Stephanie,NonProj,Does Jerry think that Danny solved some of the puzzles?,think,
30,main,Tony answered emails or calls,11,Danny is a diabetic,factL,and possibly both,11,0.47,3057,19,M,David,F,Joyce,C,Did Amanda confirm that Tony answered emails or calls?,confirm,
30,main,Grace used pens or markers,9,Grace loves her sister,factH,and possibly both,9,0.69,2709,20,F,Karen,M,Brian,C,Did Andrew acknowledge that Grace used pens or markers?,acknowledge,
30,main,Frank answered some of the questions,5,Sophia is a hipster,factH,and possibly all of them,5,0.27,6419,21,M,George,F,Virginia,C,Did Ben prove that Frank answered some of the questions?,prove,
8,main,Danny solved some of the puzzles,4,Olivia works the third shift,factH,but not all of them,4,0.14,1682,3,M,William,F,Amanda,NonProj,Did Jerry establish that Danny solved some of the puzzles?,establish,
8,main,Josie failed some of the courses,2,Josie doesn't have a passport,factL,and possibly all of them,2,0.95,1083,4,F,Ashley,M,Jacob,NonProj,Did Scott discover that Josie failed some of the courses?,discover,
8,main,Josh bought coffee or tea,12,Frank has always wanted a pet,factH,and possibly both,12,0.05,1283,5,F,Betty,F,Julie,C,Did Melissa acknowledge that Josh bought coffee or tea?,acknowledge,
8,main,Frank answered some of the questions,5,Sophia is a hipster,factH,but not all of them,5,0.51,883,6,F,Karen,F,Stephanie,C,Did Ben inform Sam that Frank answered some of the questions?,inform_Sam,
8,main,Mary's aunt is sick,control2,Mary visited her aunt on Sunday,NA,,control2,0.52,1367,7,F,Jennifer,NA,NA,control,Is Mary's aunt sick?,control,
8,main,Jayden solved the puzzles or problems,10,Zoe is a math major,factH,but not both,10,0.41,1434,8,M,Matthew,F,Catherine,NonProj,Did Tim reveal that Jayden solved the puzzles or problems?,reveal,
8,main,Todd played football in high school,control3,Todd goes to the gym 3 times a week,NA,,control3,0.88,1382,9,M,David,NA,NA,control,Did Todd play football in high school?,control,
8,main,Madison had a baby,control5,Trish sent Madison a card,NA,,control5,0.2,1033,10,F,Helen,NA,NA,control,Did Madison have a baby?,control,
8,main,Isabella ate cake or pie,7,Isabella is a vegetarian,factL,and possibly both,7,0.69,916,11,F,Jennifer,M,Scott,C,Did Kevin say that Isabella ate cake or pie?,say,
8,main,Vanessa is good at math,control4,Vanessa won a prize at school,NA,,control4,0.37,916,12,F,Sarah,NA,NA,control,Is Vanessa good at math?,control,
8,main,Tony answered emails or calls,11,Danny is a diabetic,factL,but not both,11,0.58,884,13,M,David,F,Rebecca,NonProj,Does Amanda know that Tony answered emails or calls?,know,
8,main,Emily failed math or science,8,Emily never has any money,factL,and possibly both,8,0.43,799,14,M,James,M,Raymond,NonProj,Does Brian think that Emily failed math or science?,think,
8,main,Grace used pens or markers,9,Grace loves her sister,factH,but not both,9,0.66,850,15,F,Margaret,M,Ryan,C,Did Andrew confirm that Grace used pens or markers?,confirm,
8,main,Emma used some of the office supplies,3,Emma is in first grade,factL,and possibly all of them,3,0.37,1184,16,F,Sarah,M,Benjamin,C,Did Justin prove that Emma used some of the office supplies?,prove,
8,main,Zack is coming to the meeting tomorrow,control1,Zack is a member of the golf club,NA,,control1,0.49,816,17,F,Ashley,NA,NA,control,Is Zack coming to the meeting tomorrow?,control,
8,main,Hendrick's car was expensive,control6,Hendrick just bought a car,NA,,control6,0.56,884,18,M,James,NA,NA,control,Was Hendrick's car expensive?,control,
8,main,Jackson completed some of the assignments,6,Mia is a nun,factL,but not all of them,6,0.73,1017,19,F,Helen,F,Cynthia,C,Did Ray suggest that Jackson completed some of the assignments?,suggest,
8,main,Mary ate some of the cupcakes,1,Mary is taking a prenatal yoga class,factH,and possibly all of them,1,0.44,1499,20,M,Kenneth,M,Eric,C,Did Patrick hear that Mary ate some of the cupcakes?,hear,
21,main,Grace used pens or markers,9,Grace loves her sister,factH,and possibly both,9,0.07,10988,4,M,Robert,M,Edward,NonProj,Did Andrew establish that Grace used pens or markers?,establish,
21,main,Josh bought coffee or tea,12,Frank is allergic to cats,factL,but not both,12,0,4776,5,M,Paul,F,Kathleen,NonProj,Does Melissa know that Josh bought coffee or tea?,know,
21,main,Isabella ate cake or pie,7,Isabella is a vegetarian,factL,but not both,7,0.33,6765,6,M,Matthew,M,Alexander,C,Did Kevin suggest that Isabella ate cake or pie?,suggest,
21,main,Josie failed some of the courses,2,Josie loves France,factH,but not all of them,2,0.32,4712,7,F,Sandra,M,Tyler,NonProj,Did Scott reveal that Josie failed some of the courses?,reveal,
21,main,Danny solved some of the puzzles,4,Olivia works the third shift,factH,and possibly all of them,4,0.71,9224,8,M,Steven,F,Rachel,C,Did Jerry inform Sam that Danny solved some of the puzzles?,inform_Sam,
21,main,Frank answered some of the questions,5,Sophia is a hipster,factH,but not all of them,5,0.39,6278,9,F,Betty,F,Melissa,C,Did Ben say that Frank answered some of the questions?,say,
21,main,Jayden solved the puzzles or problems,10,Zoe is a math major,factH,but not both,10,0.29,6006,10,F,Susan,F,Carolyn,C,Did Tim prove that Jayden solved the puzzles or problems?,prove,
21,main,Vanessa is good at math,control4,Vanessa won a prize at school,NA,,control4,0.29,4014,11,M,Paul,NA,NA,control,Is Vanessa good at math?,control,
21,main,Zack is coming to the meeting tomorrow,control1,Zack is a member of the golf club,NA,,control1,0.17,3201,12,M,Matthew,NA,NA,control,Is Zack coming to the meeting tomorrow?,control,
21,main,Emma used some of the office supplies,3,Emma is in law school,factH,and possibly all of them,3,0.8,5047,13,F,Jessica,M,Timothy,NonProj,Did Justin discover that Emma used some of the office supplies?,discover,
21,main,Jackson completed some of the assignments,6,Mia is a nun,factL,but not all of them,6,0.32,4283,14,F,Michelle,F,Amanda,C,Did Ray confirm that Jackson completed some of the assignments?,confirm,
21,main,Tony answered emails or calls,11,Danny is a diabetic,factL,and possibly both,11,0.85,3097,15,F,Kimberly,F,Brenda,C,Did Amanda hear that Tony answered emails or calls?,hear,
21,main,Emily failed math or science,8,Emily never has any money,factL,and possibly both,8,0.22,4149,16,M,David,M,Ryan,NonProj,Does Brian think that Emily failed math or science?,think,
21,main,Mary ate some of the cupcakes,1,Mary is a middle school student,factL,and possibly all of them,1,0.71,3021,17,F,Sarah,M,Ronald,C,Did Patrick acknowledge that Mary ate some of the cupcakes?,acknowledge,
21,main,Todd played football in high school,control3,Todd goes to the gym 3 times a week,NA,,control3,0.2,3832,18,F,Sarah,NA,NA,control,Did Todd play football in high school?,control,
21,main,Madison had a baby,control5,Trish sent Madison a card,NA,,control5,0.29,2356,19,F,Michelle,NA,NA,control,Did Madison have a baby?,control,
21,main,Hendrick's car was expensive,control6,Hendrick just bought a car,NA,,control6,0.22,2422,20,F,Kimberly,NA,NA,control,Was Hendrick's car expensive?,control,
21,main,Mary's aunt is sick,control2,Mary visited her aunt on Sunday,NA,,control2,0.26,69946,21,M,David,NA,NA,control,Is Mary's aunt sick?,control,
28,main,Mary's aunt is sick,control2,Mary visited her aunt on Sunday,NA,,control2,0.08,11640,4,F,Carol,NA,NA,control,Is Mary's aunt sick?,control,
28,main,Isabella ate cake or pie,7,Isabella is a vegetarian,factL,but not both,7,0.22,24592,5,F,Sandra,M,Andrew,NonProj,Did Kevin discover that Isabella ate cake or pie?,discover,
28,main,Danny solved some of the puzzles,4,Olivia has two small children,factL,and possibly all of them,4,0.25,20493,6,F,Margaret,F,Anna,NonProj,Does Jerry think that Danny solved some of the puzzles?,think,
28,main,Zack is coming to the meeting tomorrow,control1,Zack is a member of the golf club,NA,,control1,0.04,7341,7,F,Linda,NA,NA,control,Is Zack coming to the meeting tomorrow?,control,
28,main,Madison had a baby,control5,Trish sent Madison a card,NA,,control5,0.24,7292,8,F,Margaret,NA,NA,control,Did Madison have a baby?,control,
28,main,Hendrick's car was expensive,control6,Hendrick just bought a car,NA,,control6,0.38,10273,9,F,Elizabeth,NA,NA,control,Was Hendrick's car expensive?,control,
28,main,Jayden solved the puzzles or problems,10,Zoe is 5 years old,factL,but not both,10,0.79,19756,10,M,Robert,F,Joyce,NonProj,Does Tim know that Jayden solved the puzzles or problems?,know,
28,main,Emily failed math or science,8,Emily never has any money,factL,and possibly both,8,0.24,42580,11,F,Carol,M,Benjamin,C,Did Brian prove that Emily failed math or science?,prove,
28,main,Josh bought coffee or tea,12,Frank is allergic to cats,factL,and possibly both,12,0.71,12192,12,F,Elizabeth,F,Melissa,C,Did Melissa say that Josh bought coffee or tea?,say,
28,main,Tony answered emails or calls,11,Danny loves cake,factH,but not both,11,0.27,11048,13,M,Thomas,F,Stephanie,NonProj,Did Amanda establish that Tony answered emails or calls?,establish,
28,main,Josie failed some of the courses,2,Josie loves France,factH,but not all of them,2,0.79,47044,14,F,Sarah,M,Raymond,C,Did Scott hear that Josie failed some of the courses?,hear,
28,main,Vanessa is good at math,control4,Vanessa won a prize at school,NA,,control4,0.27,8675,15,F,Sandra,NA,NA,control,Is Vanessa good at math?,control,
28,main,Jackson completed some of the assignments,6,Mia is a college student,factH,but not all of them,6,0.92,8576,16,F,Betty,F,Heather,C,Did Ray inform Sam that Jackson completed some of the assignments?,inform_Sam,
28,main,Mary ate some of the cupcakes,1,Mary is a middle school student,factL,and possibly all of them,1,0.95,8449,17,F,Linda,M,Gregory,C,Did Patrick acknowledge that Mary ate some of the cupcakes?,acknowledge,
28,main,Emma used some of the office supplies,3,Emma is in law school,factH,and possibly all of them,3,0.86,10311,18,M,Richard,M,Nicholas,C,Did Justin confirm that Emma used some of the office supplies?,confirm,
28,main,Frank answered some of the questions,5,Sophia is a hipster,factH,but not all of them,5,0.25,21405,19,F,Donna,F,Amanda,C,Did Ben suggest that Frank answered some of the questions?,suggest,
28,main,Todd played football in high school,control3,Todd goes to the gym 3 times a week,NA,,control3,0.06,5794,20,M,Robert,NA,NA,control,Did Todd play football in high school?,control,
28,main,Grace used pens or markers,9,Grace loves her sister,factH,and possibly both,9,0.85,8058,21,F,Jennifer,M,Jeffrey,NonProj,Did Andrew reveal that Grace used pens or markers?,reveal,
23,main,Emma used some of the office supplies,3,Emma is in first grade,factL,but not all of them,3,0.64,4074,4,M,Steven,M,Patrick,NonProj,Did Justin discover that Emma used some of the office supplies?,discover,
23,main,Vanessa is good at math,control4,Vanessa won a prize at school,NA,,control4,0.81,5315,5,F,Karen,NA,NA,control,Is Vanessa good at math?,control,
23,main,Isabella ate cake or pie,7,Isabella is a vegetarian,factL,and possibly both,7,0.52,3985,6,F,Susan,M,Ryan,NonProj,Did Kevin establish that Isabella ate cake or pie?,establish,
23,main,Grace used pens or markers,9,Grace loves her sister,factH,but not both,9,0.44,144140,7,M,Kenneth,M,Andrew,C,Did Andrew hear that Grace used pens or markers?,hear,
23,main,Jackson completed some of the assignments,6,Mia is a nun,factL,and possibly all of them,6,0.64,1945,8,F,Sandra,F,Rachel,NonProj,Does Ray think that Jackson completed some of the assignments?,think,
23,main,Madison had a baby,control5,Trish sent Madison a card,NA,,control5,0.8,2911,9,F,Jessica,NA,NA,control,Did Madison have a baby?,control,
23,main,Todd played football in high school,control3,Todd goes to the gym 3 times a week,NA,,control3,0.65,1878,10,F,Sandra,NA,NA,control,Did Todd play football in high school?,control,
23,main,Josh bought coffee or tea,12,Frank is allergic to cats,factL,but not both,12,0.62,1781,11,F,Karen,F,Amanda,C,Did Melissa suggest that Josh bought coffee or tea?,suggest,
23,main,Hendrick's car was expensive,control6,Hendrick just bought a car,NA,,control6,0.69,3052,12,F,Susan,NA,NA,control,Was Hendrick's car expensive?,control,
23,main,Mary ate some of the cupcakes,1,Mary is a middle school student,factL,and possibly all of them,1,0.48,7920,13,M,Matthew,M,Tyler,NonProj,Did Patrick reveal that Mary ate some of the cupcakes?,reveal,
23,main,Frank answered some of the questions,5,Sophia is a hipster,factH,but not all of them,5,0.39,14815,14,F,Donna,F,Carolyn,C,Did Ben inform Sam that Frank answered some of the questions?,inform_Sam,
23,main,Mary's aunt is sick,control2,Mary visited her aunt on Sunday,NA,,control2,0.6,1823,15,M,Steven,NA,NA,control,Is Mary's aunt sick?,control,
23,main,Jayden solved the puzzles or problems,10,Zoe is a math major,factH,and possibly both,10,0.63,2261,16,F,Betty,F,Stephanie,C,Did Tim confirm that Jayden solved the puzzles or problems?,confirm,
23,main,Danny solved some of the puzzles,4,Olivia works the third shift,factH,but not all of them,4,0.51,1650,17,F,Ashley,F,Janet,C,Did Jerry prove that Danny solved some of the puzzles?,prove,
23,main,Zack is coming to the meeting tomorrow,control1,Zack is a member of the golf club,NA,,control1,0.73,1727,18,M,Matthew,NA,NA,control,Is Zack coming to the meeting tomorrow?,control,
