workerid,proliferate.condition,condition,item_id,matrix_subject,response,rt,scale,slide_number_in_experiment,speakerGender,speakerName,statement,trigger,trigger_class,utterance,error
74,main,NA,control1,NA,0.19,30587,NA,4,F,Susan,Zack is coming to the meeting tomorrow,control,control,Is Zack coming to the meeting tomorrow?,NA
74,main,ub,4,Janice,0.92,17776,some,5,F,Helen,"Danny solved some of the puzzles, and he did not solve all of them",know,NonProj,Does Janice know that Danny solved some of the puzzles?,NA
74,main,NA,control4,NA,0.13,6186,NA,6,F,Michelle,Vanessa is good at math,control,control,Is Vanessa good at math?,NA
74,main,lb,9,Andrew,0.05,7674,or,7,F,Sandra,Grace stole a laptop or a calculator or both,prove,C,Did Andrew prove that Grace stole a laptop or a calculator?,NA
74,main,lb,5,Barbara,0.96,9371,some,8,M,Thomas,Frank graded at least some of the math problems,establish,NonProj,Did Barbara establish that Frank graded some of the math problems?,NA
74,main,ub,2,Scott,0.92,15492,some,9,M,Christopher,"Josie failed some of the courses, and she did not fail all of them",discover,NonProj,Did Scott discover that Josie failed some of the courses?,NA
74,main,lb,8,Brian,0.87,32000,or,10,M,James,Emily failed math or science or both,inform_Sam,C,Did Brian inform Sam that Emily failed math or science?,NA
74,main,lb,7,Kevin,0.48,18405,or,11,F,Nancy,Isabella ate cake or pie or both,hear,C,Did Kevin hear that Isabella ate cake or pie?,NA
74,main,NA,control3,NA,0.09,5314,NA,12,F,Sarah,Todd played football in high school,control,control,Did Todd play football in high school?,NA
74,main,ub,11,Amanda,0.18,21858,or,13,M,David,"Tony graded the midterm or the final, and he did not grade both",suggest,C,Did Amanda suggest that Tony graded the midterm or the final?,NA
74,main,lb,3,Justin,0.13,8630,some,14,M,Richard,Emma stole at least some of the office supplies,say,C,Did Justin say that Emma stole some of the office supplies?,NA
74,main,NA,control5,NA,0.09,9020,NA,15,M,Steven,Madison had a baby,control,control,Did Madison have a baby?,NA
74,main,ub,1,Patrick,0.72,11831,some,16,F,Elizabeth,"Mary ate some of the cupcakes, and she did not eat all of them",acknowledge,C,Did Patrick acknowledge that Mary ate some of the cupcakes?,NA
74,main,NA,control2,NA,0.15,5291,NA,17,F,Jennifer,Mary's aunt is sick,control,control,Is Mary's aunt sick?,NA
74,main,NA,control6,NA,0.14,4371,NA,18,F,Ashley,Hendrick's car was expensive,control,control,Was Hendrick's car expensive?,NA
74,main,ub,10,Tina,0.12,29419,or,19,F,Jessica,"Jayden solved the crossword or the Rubik's cube, and he did not solve both",think,NonProj,Does Tina think that Jayden solved the crossword or the Rubik's cube?,NA
74,main,lb,6,Rachel,0.43,9088,some,20,M,George,Jackson drank at least some of the sodas,confirm,C,Did Rachel confirm that Jackson drank some of the sodas?,NA
74,main,ub,12,Melissa,0.27,7256,or,21,M,Robert,"Josh drank coffee or tea, and he did not drink both",reveal,NonProj,Did Melissa reveal that Josh drank coffee or tea?,NA
378,main,NA,control5,NA,0,13391,NA,4,F,Susan,Madison had a baby,control,control,Did Madison have a baby?,NA
378,main,ub,7,Kevin,0.45,22136,or,5,M,Richard,"Isabella ate cake or pie, and she did not eat both",prove,C,Did Kevin prove that Isabella ate cake or pie?,NA
378,main,lb,11,Amanda,0.77,27216,or,6,F,Jennifer,Tony graded the midterm or the final or both,discover,NonProj,Did Amanda discover that Tony graded the midterm or the final?,NA
378,main,lb,6,Rachel,0.45,13824,some,7,M,Paul,Jackson drank at least some of the sodas,suggest,C,Did Rachel suggest that Jackson drank some of the sodas?,NA
378,main,ub,9,Andrew,0.2,16168,or,8,M,Steven,"Grace stole a laptop or a calculator, and she did not steal both",hear,C,Did Andrew hear that Grace stole a laptop or a calculator?,NA
378,main,lb,12,Melissa,0.78,15424,or,9,M,Matthew,Josh drank coffee or tea or both,inform_Sam,C,Did Melissa inform Sam that Josh drank coffee or tea?,NA
378,main,NA,control2,NA,0,11888,NA,10,M,Kenneth,Mary's aunt is sick,control,control,Is Mary's aunt sick?,NA
378,main,lb,1,Patrick,0.99,22135,some,11,F,Karen,Mary ate at least some of the cupcakes,reveal,NonProj,Did Patrick reveal that Mary ate some of the cupcakes?,NA
378,main,ub,5,Barbara,0.44,25871,some,12,F,Helen,"Frank graded some of the math problems, and he did not grade all of them",say,C,Did Barbara say that Frank graded some of the math problems?,NA
378,main,ub,3,Justin,0.2,12400,some,13,M,James,"Emma stole some of the office supplies, and she did not take all of them",establish,NonProj,Did Justin establish that Emma stole some of the office supplies?,NA
378,main,NA,control1,NA,0,7584,NA,14,M,Thomas,Zack is coming to the meeting tomorrow,control,control,Is Zack coming to the meeting tomorrow?,NA
378,main,lb,8,Brian,0.78,19032,or,15,F,Nancy,Emily failed math or science or both,acknowledge,C,Did Brian acknowledge that Emily failed math or science?,NA
378,main,lb,2,Scott,0,9344,some,16,F,Elizabeth,Josie failed at least some of the courses,think,NonProj,Does Scott think that Josie failed some of the courses?,NA
378,main,NA,control4,NA,0,9232,NA,17,F,Michelle,Vanessa is good at math,control,control,Is Vanessa good at math?,NA
378,main,ub,10,Tina,0.22,14136,or,18,M,Robert,"Jayden solved the crossword or the Rubik's cube, and he did not solve both",know,NonProj,Does Tina know that Jayden solved the crossword or the Rubik's cube?,NA
378,main,NA,control6,NA,0,7808,NA,19,M,Mark,Hendrick's car was expensive,control,control,Was Hendrick's car expensive?,NA
378,main,NA,control3,NA,0,6256,NA,20,M,Christopher,Todd played football in high school,control,control,Did Todd play football in high school?,NA
378,main,ub,4,Janice,0.19,14416,some,21,F,Lisa,"Danny solved some of the puzzles, and he did not solve all of them",confirm,C,Did Janice confirm that Danny solved some of the puzzles?,NA
275,main,ub,2,Scott,0.85,29710,some,4,F,Carol,"Josie failed some of the courses, and she did not fail all of them",know,NonProj,Does Scott know that Josie failed some of the courses?,NA
275,main,NA,control4,NA,0.5,9314,NA,5,F,Susan,Vanessa is good at math,control,control,Is Vanessa good at math?,NA
275,main,ub,6,Rachel,0.83,12248,some,6,F,Elizabeth,"Jackson drank some of the sodas, and he did not drink all of them",hear,C,Did Rachel hear that Jackson drank some of the sodas?,NA
275,main,NA,control2,NA,0.5,9561,NA,7,M,Thomas,Mary's aunt is sick,control,control,Is Mary's aunt sick?,NA
275,main,NA,control6,NA,0.49,9050,NA,8,F,Nancy,Hendrick's car was expensive,control,control,Was Hendrick's car expensive?,NA
275,main,lb,1,Patrick,0.59,12190,some,9,F,Dorothy,Mary ate at least some of the cupcakes,suggest,C,Did Patrick suggest that Mary ate some of the cupcakes?,NA
275,main,ub,10,Tina,0.74,17576,or,10,M,Richard,"Jayden solved the crossword or the Rubik's cube, and he did not solve both",reveal,NonProj,Did Tina reveal that Jayden solved the crossword or the Rubik's cube?,NA
275,main,lb,7,Kevin,0.79,12890,or,11,F,Ashley,Isabella ate cake or pie or both,establish,NonProj,Did Kevin establish that Isabella ate cake or pie?,NA
275,main,ub,3,Justin,0.77,11500,some,12,M,Steven,"Emma stole some of the office supplies, and she did not take all of them",think,NonProj,Does Justin think that Emma stole some of the office supplies?,NA
275,main,NA,control1,NA,0.5,6687,NA,13,F,Betty,Zack is coming to the meeting tomorrow,control,control,Is Zack coming to the meeting tomorrow?,NA
275,main,lb,9,Andrew,0.79,9206,or,14,F,Kimberly,Grace stole a laptop or a calculator or both,inform_Sam,C,Did Andrew inform Sam that Grace stole a laptop or a calculator?,NA
275,main,lb,5,Barbara,0.79,9810,some,15,M,Paul,Frank graded at least some of the math problems,say,C,Did Barbara say that Frank graded some of the math problems?,NA
275,main,ub,12,Melissa,0.77,8444,or,16,F,Helen,"Josh drank coffee or tea, and he did not drink both",discover,NonProj,Did Melissa discover that Josh drank coffee or tea?,NA
275,main,NA,control5,NA,0.51,6973,NA,17,M,Matthew,Madison had a baby,control,control,Did Madison have a baby?,NA
275,main,lb,11,Amanda,0.8,8206,or,18,F,Karen,Tony graded the midterm or the final or both,confirm,C,Did Amanda confirm that Tony graded the midterm or the final?,NA
275,main,NA,control3,NA,0.52,5837,NA,19,M,James,Todd played football in high school,control,control,Did Todd play football in high school?,NA
275,main,lb,4,Janice,0.78,11974,some,20,F,Sandra,Danny solved at least some of the puzzles,prove,C,Did Janice prove that Danny solved some of the puzzles?,NA
275,main,ub,8,Brian,0.73,8641,or,21,F,Jennifer,"Emily failed math or science, and she did not fail both",acknowledge,C,Did Brian acknowledge that Emily failed math or science?,NA
135,main,NA,control3,NA,0.01,17883,NA,4,F,Linda,Todd played football in high school,control,control,Did Todd play football in high school?,NA
135,main,lb,9,Andrew,0.89,20088,or,5,M,Steven,Grace stole a laptop or a calculator or both,acknowledge,C,Did Andrew acknowledge that Grace stole a laptop or a calculator?,NA
135,main,NA,control4,NA,0.01,8844,NA,6,M,Christopher,Vanessa is good at math,control,control,Is Vanessa good at math?,NA
135,main,NA,control1,NA,0.01,8767,NA,7,M,Richard,Zack is coming to the meeting tomorrow,control,control,Is Zack coming to the meeting tomorrow?,NA
135,main,NA,control5,NA,0.47,10682,NA,8,F,Lisa,Madison had a baby,control,control,Did Madison have a baby?,NA
135,main,ub,6,Rachel,0.84,15649,some,9,F,Susan,"Jackson drank some of the sodas, and he did not drink all of them",hear,C,Did Rachel hear that Jackson drank some of the sodas?,NA
135,main,ub,12,Melissa,0.95,15619,or,10,F,Dorothy,"Josh drank coffee or tea, and he did not drink both",know,NonProj,Does Melissa know that Josh drank coffee or tea?,NA
135,main,ub,11,Amanda,0.02,22915,or,11,F,Jessica,"Tony graded the midterm or the final, and he did not grade both",think,NonProj,Does Amanda think that Tony graded the midterm or the final?,NA
135,main,lb,5,Barbara,0.31,13002,some,12,F,Sandra,Frank graded at least some of the math problems,confirm,C,Did Barbara confirm that Frank graded some of the math problems?,NA
135,main,NA,control2,NA,0.14,10915,NA,13,M,Thomas,Mary's aunt is sick,control,control,Is Mary's aunt sick?,NA
135,main,lb,1,Patrick,0.03,11018,some,14,M,Robert,Mary ate at least some of the cupcakes,establish,NonProj,Did Patrick establish that Mary ate some of the cupcakes?,NA
135,main,NA,control6,NA,0.11,10117,NA,15,F,Elizabeth,Hendrick's car was expensive,control,control,Was Hendrick's car expensive?,NA
135,main,lb,10,Tina,0.83,26984,or,16,F,Michelle,Jayden solved the crossword or the Rubik's cube or both,discover,NonProj,Did Tina discover that Jayden solved the crossword or the Rubik's cube?,NA
135,main,ub,2,Scott,0.12,18867,some,17,F,Donna,"Josie failed some of the courses, and she did not fail all of them",prove,C,Did Scott prove that Josie failed some of the courses?,NA
135,main,lb,8,Brian,0.9,28682,or,18,M,Mark,Emily failed math or science or both,reveal,NonProj,Did Brian reveal that Emily failed math or science?,NA
135,main,ub,7,Kevin,0.06,24134,or,19,F,Margaret,"Isabella ate cake or pie, and she did not eat both",inform_Sam,C,Did Kevin inform Sam that Isabella ate cake or pie?,NA
135,main,ub,4,Janice,0.03,15167,some,20,F,Betty,"Danny solved some of the puzzles, and he did not solve all of them",say,C,Did Janice say that Danny solved some of the puzzles?,NA
135,main,lb,3,Justin,0.01,11157,some,21,F,Helen,Emma stole at least some of the office supplies,suggest,C,Did Justin suggest that Emma stole some of the office supplies?,NA
67,main,NA,control2,NA,0,11993,NA,4,M,William,Mary's aunt is sick,control,control,Is Mary's aunt sick?,NA
67,main,ub,5,Barbara,0.13,15700,some,5,F,Donna,"Frank graded some of the math problems, and he did not grade all of them",inform_Sam,C,Did Barbara inform Sam that Frank graded some of the math problems?,NA
67,main,ub,9,Andrew,0.79,15432,or,6,F,Carol,"Grace stole a laptop or a calculator, and she did not steal both",acknowledge,C,Did Andrew acknowledge that Grace stole a laptop or a calculator?,NA
67,main,lb,10,Tina,0.39,26650,or,7,F,Jennifer,Jayden solved the crossword or the Rubik's cube or both,know,NonProj,Does Tina know that Jayden solved the crossword or the Rubik's cube?,NA
67,main,lb,1,Patrick,0.13,10536,some,8,F,Susan,Mary ate at least some of the cupcakes,establish,NonProj,Did Patrick establish that Mary ate some of the cupcakes?,NA
67,main,NA,control6,NA,0,8379,NA,9,M,Kenneth,Hendrick's car was expensive,control,control,Was Hendrick's car expensive?,NA
67,main,NA,control3,NA,0,8107,NA,10,M,Thomas,Todd played football in high school,control,control,Did Todd play football in high school?,NA
67,main,ub,3,Justin,0.09,10430,some,11,F,Sandra,"Emma stole some of the office supplies, and she did not take all of them",prove,C,Did Justin prove that Emma stole some of the office supplies?,NA
67,main,lb,2,Scott,0.8,8519,some,12,M,Paul,Josie failed at least some of the courses,reveal,NonProj,Did Scott reveal that Josie failed some of the courses?,NA
67,main,lb,8,Brian,0.12,12721,or,13,F,Lisa,Emily failed math or science or both,suggest,C,Did Brian suggest that Emily failed math or science?,NA
67,main,NA,control5,NA,0,5577,NA,14,M,Steven,Madison had a baby,control,control,Did Madison have a baby?,NA
67,main,lb,11,Amanda,0.91,8730,or,15,M,David,Tony graded the midterm or the final or both,hear,C,Did Amanda hear that Tony graded the midterm or the final?,NA
67,main,NA,control4,NA,0,5190,NA,16,F,Betty,Vanessa is good at math,control,control,Is Vanessa good at math?,NA
67,main,ub,12,Melissa,0.27,7846,or,17,M,George,"Josh drank coffee or tea, and he did not drink both",confirm,C,Did Melissa confirm that Josh drank coffee or tea?,NA
67,main,ub,4,Janice,0.25,11229,some,18,F,Sarah,"Danny solved some of the puzzles, and he did not solve all of them",say,C,Did Janice say that Danny solved some of the puzzles?,NA
67,main,ub,7,Kevin,0.65,8165,or,19,F,Jessica,"Isabella ate cake or pie, and she did not eat both",think,NonProj,Does Kevin think that Isabella ate cake or pie?,NA
67,main,NA,control1,NA,0,6960,NA,20,F,Helen,Zack is coming to the meeting tomorrow,control,control,Is Zack coming to the meeting tomorrow?,NA
67,main,lb,6,Rachel,1,8225,some,21,F,Elizabeth,Jackson drank at least some of the sodas,discover,NonProj,Did Rachel discover that Jackson drank some of the sodas?,NA
283,main,NA,control1,NA,0.02,16434,NA,4,F,Karen,Zack is coming to the meeting tomorrow,control,control,Is Zack coming to the meeting tomorrow?,NA
283,main,NA,control6,NA,0,28725,NA,5,F,Dorothy,Hendrick's car was expensive,control,control,Was Hendrick's car expensive?,NA
283,main,lb,10,Tina,1,32602,or,6,F,Michelle,Jayden solved the crossword or the Rubik's cube or both,acknowledge,C,Did Tina acknowledge that Jayden solved the crossword or the Rubik's cube?,NA
283,main,lb,5,Barbara,1,11435,some,7,M,George,Frank graded at least some of the math problems,say,C,Did Barbara say that Frank graded some of the math problems?,NA
283,main,NA,control2,NA,0,10183,NA,8,M,Robert,Mary's aunt is sick,control,control,Is Mary's aunt sick?,NA
283,main,ub,11,Amanda,0.9,32978,or,9,F,Sandra,"Tony graded the midterm or the final, and he did not grade both",discover,NonProj,Did Amanda discover that Tony graded the midterm or the final?,NA
283,main,ub,4,Janice,1,10910,some,10,F,Carol,"Danny solved some of the puzzles, and he did not solve all of them",establish,NonProj,Did Janice establish that Danny solved some of the puzzles?,NA
283,main,ub,7,Kevin,1,17938,or,11,F,Nancy,"Isabella ate cake or pie, and she did not eat both",prove,C,Did Kevin prove that Isabella ate cake or pie?,NA
283,main,lb,12,Melissa,1,16456,or,12,M,William,Josh drank coffee or tea or both,know,NonProj,Does Melissa know that Josh drank coffee or tea?,NA
283,main,NA,control4,NA,0,10474,NA,13,M,David,Vanessa is good at math,control,control,Is Vanessa good at math?,NA
283,main,ub,2,Scott,1,12963,some,14,F,Susan,"Josie failed some of the courses, and she did not fail all of them",reveal,NonProj,Did Scott reveal that Josie failed some of the courses?,NA
283,main,ub,8,Brian,0,20308,or,15,F,Margaret,"Emily failed math or science, and she did not fail both",think,NonProj,Does Brian think that Emily failed math or science?,NA
283,main,lb,6,Rachel,1,7935,some,16,F,Ashley,Jackson drank at least some of the sodas,hear,C,Did Rachel hear that Jackson drank some of the sodas?,NA
283,main,lb,1,Patrick,1,8576,some,17,F,Helen,Mary ate at least some of the cupcakes,inform_Sam,C,Did Patrick inform Sam that Mary ate some of the cupcakes?,NA
283,main,ub,3,Justin,1,10734,some,18,F,Kimberly,"Emma stole some of the office supplies, and she did not take all of them",confirm,C,Did Justin confirm that Emma stole some of the office supplies?,NA
283,main,NA,control3,NA,0,6840,NA,19,F,Sarah,Todd played football in high school,control,control,Did Todd play football in high school?,NA
283,main,lb,9,Andrew,0,10021,or,20,M,Matthew,Grace stole a laptop or a calculator or both,suggest,C,Did Andrew suggest that Grace stole a laptop or a calculator?,NA
283,main,NA,control5,NA,0,12470,NA,21,F,Betty,Madison had a baby,control,control,Did Madison have a baby?,NA
118,main,lb,2,Scott,0.8,20794,some,4,F,Betty,Josie failed at least some of the courses,inform_Sam,C,Did Scott inform Sam that Josie failed some of the courses?,NA
118,main,ub,6,Rachel,0.34,13793,some,5,F,Jessica,"Jackson drank some of the sodas, and he did not drink all of them",suggest,C,Did Rachel suggest that Jackson drank some of the sodas?,NA
118,main,ub,3,Justin,0.14,12208,some,6,M,Paul,"Emma stole some of the office supplies, and she did not take all of them",prove,C,Did Justin prove that Emma stole some of the office supplies?,NA
118,main,NA,control2,NA,0,10251,NA,7,M,Christopher,Mary's aunt is sick,control,control,Is Mary's aunt sick?,NA
118,main,NA,control4,NA,0,8711,NA,8,F,Ashley,Vanessa is good at math,control,control,Is Vanessa good at math?,NA
118,main,ub,11,Amanda,0.89,19240,or,9,M,Mark,"Tony graded the midterm or the final, and he did not grade both",acknowledge,C,Did Amanda acknowledge that Tony graded the midterm or the final?,NA
118,main,ub,7,Kevin,0.76,14691,or,10,M,Steven,"Isabella ate cake or pie, and she did not eat both",discover,NonProj,Did Kevin discover that Isabella ate cake or pie?,NA
118,main,NA,control6,NA,0,8388,NA,11,M,Matthew,Hendrick's car was expensive,control,control,Was Hendrick's car expensive?,NA
118,main,lb,12,Melissa,0.22,16373,or,12,F,Elizabeth,Josh drank coffee or tea or both,confirm,C,Did Melissa confirm that Josh drank coffee or tea?,NA
118,main,ub,4,Janice,0.09,16346,some,13,F,Sarah,"Danny solved some of the puzzles, and he did not solve all of them",say,C,Did Janice say that Danny solved some of the puzzles?,NA
118,main,lb,1,Patrick,0.19,9089,some,14,M,David,Mary ate at least some of the cupcakes,establish,NonProj,Did Patrick establish that Mary ate some of the cupcakes?,NA
118,main,NA,control1,NA,0,6613,NA,15,F,Carol,Zack is coming to the meeting tomorrow,control,control,Is Zack coming to the meeting tomorrow?,NA
118,main,lb,10,Tina,0.85,9900,or,16,F,Sandra,Jayden solved the crossword or the Rubik's cube or both,know,NonProj,Does Tina know that Jayden solved the crossword or the Rubik's cube?,NA
118,main,lb,8,Brian,0.31,11055,or,17,M,Thomas,Emily failed math or science or both,think,NonProj,Does Brian think that Emily failed math or science?,NA
118,main,lb,5,Barbara,0.86,9375,some,18,F,Dorothy,Frank graded at least some of the math problems,hear,C,Did Barbara hear that Frank graded some of the math problems?,NA
118,main,NA,control5,NA,0,8504,NA,19,F,Donna,Madison had a baby,control,control,Did Madison have a baby?,NA
118,main,NA,control3,NA,0,6799,NA,20,F,Nancy,Todd played football in high school,control,control,Did Todd play football in high school?,NA
118,main,ub,9,Andrew,0.88,9543,or,21,M,Robert,"Grace stole a laptop or a calculator, and she did not steal both",reveal,NonProj,Did Andrew reveal that Grace stole a laptop or a calculator?,NA
383,main,lb,7,Kevin,0.64,24208,or,4,F,Margaret,Isabella ate cake or pie or both,hear,C,Did Kevin hear that Isabella ate cake or pie?,NA
383,main,ub,4,Janice,0.82,10448,some,5,M,James,"Danny solved some of the puzzles, and he did not solve all of them",think,NonProj,Does Janice think that Danny solved some of the puzzles?,NA
383,main,ub,12,Melissa,0.79,9189,or,6,F,Karen,"Josh drank coffee or tea, and he did not drink both",say,C,Did Melissa say that Josh drank coffee or tea?,NA
383,main,NA,control2,NA,0.14,7920,NA,7,F,Nancy,Mary's aunt is sick,control,control,Is Mary's aunt sick?,NA
383,main,lb,11,Amanda,0.69,10078,or,8,M,Christopher,Tony graded the midterm or the final or both,confirm,C,Did Amanda confirm that Tony graded the midterm or the final?,NA
383,main,ub,8,Brian,0.72,6904,or,9,F,Dorothy,"Emily failed math or science, and she did not fail both",inform_Sam,C,Did Brian inform Sam that Emily failed math or science?,NA
383,main,lb,5,Barbara,0.17,9706,some,10,M,Mark,Frank graded at least some of the math problems,suggest,C,Did Barbara suggest that Frank graded some of the math problems?,NA
383,main,ub,2,Scott,0.53,9360,some,11,M,Thomas,"Josie failed some of the courses, and she did not fail all of them",discover,NonProj,Did Scott discover that Josie failed some of the courses?,NA
383,main,NA,control6,NA,0.06,4949,NA,12,F,Donna,Hendrick's car was expensive,control,control,Was Hendrick's car expensive?,NA
383,main,NA,control1,NA,0.07,5977,NA,13,M,Matthew,Zack is coming to the meeting tomorrow,control,control,Is Zack coming to the meeting tomorrow?,NA
383,main,NA,control3,NA,0.09,8721,NA,14,M,Robert,Todd played football in high school,control,control,Did Todd play football in high school?,NA
383,main,ub,3,Justin,0.49,12704,some,15,F,Ashley,"Emma stole some of the office supplies, and she did not take all of them",know,NonProj,Does Justin know that Emma stole some of the office supplies?,NA
383,main,NA,control4,NA,0.09,4759,NA,16,F,Helen,Vanessa is good at math,control,control,Is Vanessa good at math?,NA
383,main,ub,9,Andrew,0.27,9006,or,17,F,Kimberly,"Grace stole a laptop or a calculator, and she did not steal both",prove,C,Did Andrew prove that Grace stole a laptop or a calculator?,NA
383,main,lb,1,Patrick,0.2,13588,some,18,F,Linda,Mary ate at least some of the cupcakes,reveal,NonProj,Did Patrick reveal that Mary ate some of the cupcakes?,NA
383,main,lb,6,Rachel,0.47,6058,some,19,M,David,Jackson drank at least some of the sodas,establish,NonProj,Did Rachel establish that Jackson drank some of the sodas?,NA
383,main,NA,control5,NA,0.24,5494,NA,20,F,Susan,Madison had a baby,control,control,Did Madison have a baby?,NA
383,main,lb,10,Tina,0.74,5987,or,21,F,Sarah,Jayden solved the crossword or the Rubik's cube or both,acknowledge,C,Did Tina acknowledge that Jayden solved the crossword or the Rubik's cube?,NA
330,main,ub,7,Kevin,0.01,26058,or,4,F,Carol,"Isabella ate cake or pie, and she did not eat both",think,NonProj,Does Kevin think that Isabella ate cake or pie?,NA
330,main,NA,control3,NA,0.02,14777,NA,5,M,Mark,Todd played football in high school,control,control,Did Todd play football in high school?,NA
330,main,NA,control5,NA,0,9451,NA,6,F,Betty,Madison had a baby,control,control,Did Madison have a baby?,NA
330,main,NA,control1,NA,0.01,10164,NA,7,F,Sarah,Zack is coming to the meeting tomorrow,control,control,Is Zack coming to the meeting tomorrow?,NA
330,main,ub,10,Tina,0.01,17574,or,8,F,Jessica,"Jayden solved the crossword or the Rubik's cube, and he did not solve both",suggest,C,Did Tina suggest that Jayden solved the crossword or the Rubik's cube?,NA
330,main,ub,1,Patrick,0.98,19049,some,9,F,Donna,"Mary ate some of the cupcakes, and she did not eat all of them",know,NonProj,Does Patrick know that Mary ate some of the cupcakes?,NA
330,main,lb,3,Justin,0.02,78713,some,10,F,Lisa,Emma stole at least some of the office supplies,prove,C,Did Justin prove that Emma stole some of the office supplies?,NA
330,main,NA,control4,NA,0.02,4140,NA,11,M,Robert,Vanessa is good at math,control,control,Is Vanessa good at math?,NA
330,main,lb,12,Melissa,0.97,19208,or,12,F,Michelle,Josh drank coffee or tea or both,discover,NonProj,Did Melissa discover that Josh drank coffee or tea?,NA
330,main,NA,control2,NA,0.01,13029,NA,13,F,Linda,Mary's aunt is sick,control,control,Is Mary's aunt sick?,NA
330,main,ub,2,Scott,0.01,16316,some,14,M,Thomas,"Josie failed some of the courses, and she did not fail all of them",confirm,C,Did Scott confirm that Josie failed some of the courses?,NA
330,main,lb,5,Barbara,0.98,9170,some,15,F,Jennifer,Frank graded at least some of the math problems,hear,C,Did Barbara hear that Frank graded some of the math problems?,NA
330,main,lb,9,Andrew,0,100177,or,16,M,Christopher,Grace stole a laptop or a calculator or both,establish,NonProj,Did Andrew establish that Grace stole a laptop or a calculator?,NA
330,main,lb,11,Amanda,0.97,12979,or,17,F,Sandra,Tony graded the midterm or the final or both,inform_Sam,C,Did Amanda inform Sam that Tony graded the midterm or the final?,NA
330,main,lb,6,Rachel,0.02,9357,some,18,M,James,Jackson drank at least some of the sodas,say,C,Did Rachel say that Jackson drank some of the sodas?,NA
330,main,ub,8,Brian,0.96,19491,or,19,F,Kimberly,"Emily failed math or science, and she did not fail both",reveal,NonProj,Did Brian reveal that Emily failed math or science?,NA
330,main,ub,4,Janice,0.99,10238,some,20,M,William,"Danny solved some of the puzzles, and he did not solve all of them",acknowledge,C,Did Janice acknowledge that Danny solved some of the puzzles?,NA
330,main,NA,control6,NA,0.01,9700,NA,21,M,Steven,Hendrick's car was expensive,control,control,Was Hendrick's car expensive?,NA
384,main,ub,3,Justin,0.57,38111,some,4,F,Margaret,"Emma stole some of the office supplies, and she did not take all of them",reveal,NonProj,Did Justin reveal that Emma stole some of the office supplies?,NA
384,main,ub,1,Patrick,0.47,17042,some,5,M,Matthew,"Mary ate some of the cupcakes, and she did not eat all of them",know,NonProj,Does Patrick know that Mary ate some of the cupcakes?,NA
384,main,NA,control3,NA,0.05,14558,NA,6,F,Ashley,Todd played football in high school,control,control,Did Todd play football in high school?,NA
384,main,ub,11,Amanda,0.26,18404,or,7,F,Betty,"Tony graded the midterm or the final, and he did not grade both",confirm,C,Did Amanda confirm that Tony graded the midterm or the final?,NA
384,main,ub,12,Melissa,0.37,12264,or,8,F,Jessica,"Josh drank coffee or tea, and he did not drink both",acknowledge,C,Did Melissa acknowledge that Josh drank coffee or tea?,NA
384,main,lb,5,Barbara,0.95,40056,some,9,F,Dorothy,Frank graded at least some of the math problems,inform_Sam,C,Did Barbara inform Sam that Frank graded some of the math problems?,NA
384,main,ub,9,Andrew,0.18,23821,or,10,M,William,"Grace stole a laptop or a calculator, and she did not steal both",suggest,C,Did Andrew suggest that Grace stole a laptop or a calculator?,NA
384,main,lb,2,Scott,0.91,13069,some,11,F,Karen,Josie failed at least some of the courses,establish,NonProj,Did Scott establish that Josie failed some of the courses?,NA
384,main,ub,6,Rachel,0.24,3634,some,12,M,Thomas,"Jackson drank some of the sodas, and he did not drink all of them",say,C,Did Rachel say that Jackson drank some of the sodas?,NA
384,main,lb,7,Kevin,0.73,2631,or,13,F,Helen,Isabella ate cake or pie or both,discover,NonProj,Did Kevin discover that Isabella ate cake or pie?,NA
384,main,lb,8,Brian,0.21,3129,or,14,F,Kimberly,Emily failed math or science or both,think,NonProj,Does Brian think that Emily failed math or science?,NA
384,main,lb,4,Janice,0.09,4249,some,15,F,Linda,Danny solved at least some of the puzzles,hear,C,Did Janice hear that Danny solved some of the puzzles?,NA
384,main,NA,control1,NA,0.8,4751,NA,16,M,Steven,Zack is coming to the meeting tomorrow,control,control,Is Zack coming to the meeting tomorrow?,NA
384,main,NA,control6,NA,0.46,9204,NA,17,F,Carol,Hendrick's car was expensive,control,control,Was Hendrick's car expensive?,NA
384,main,NA,control5,NA,0.4,3212,NA,18,F,Sarah,Madison had a baby,control,control,Did Madison have a baby?,NA
384,main,lb,10,Tina,0.76,3256,or,19,M,Robert,Jayden solved the crossword or the Rubik's cube or both,prove,C,Did Tina prove that Jayden solved the crossword or the Rubik's cube?,NA
384,main,NA,control4,NA,0.11,2857,NA,20,F,Nancy,Vanessa is good at math,control,control,Is Vanessa good at math?,NA
384,main,NA,control2,NA,0.74,2657,NA,21,M,Richard,Mary's aunt is sick,control,control,Is Mary's aunt sick?,NA
299,main,NA,control1,NA,0,11423,NA,4,F,Michelle,Zack is coming to the meeting tomorrow,control,control,Is Zack coming to the meeting tomorrow?,NA
299,main,NA,control2,NA,0,9153,NA,5,F,Ashley,Mary's aunt is sick,control,control,Is Mary's aunt sick?,NA
299,main,lb,11,Amanda,0,15186,or,6,F,Linda,Tony graded the midterm or the final or both,think,NonProj,Does Amanda think that Tony graded the midterm or the final?,NA
